Guest_ID,Visit_Year,Num_Adults,Num_Kids,Ticket_Source,Ticket_Type,Stay_Length,Transport,Digital_Assets,Revisit_Concern,Top_One,Top_Two,Giftshop_Concern,F&B_Concern,Hotel_Concern,Themed_Concern,OSS_ROE,Cast_Concern,Singlepath_Concern,Rides_Concern,Tempcheck_Concern,Digitalline_Concern,EE_ROE,Potluck_ROE,Parade_ROE,Newhotel_ROE,Gender,Age,Country
2,2020,2,1,Disney website,MAGIC ticket 1 day single park valid during green and blue dates on Disney Calendar,1 days,Private vehicle,Disneyland mobile app,8,Small Kids Rides, Parades,8,8,8,8,8,3,3,1,1,10,5,8,6,6,Male,30-35,United Kingdom
3,2020,6,6,Disney website,MINI ticket 1 day two parks valid during green dates on Disney calendar,1 days,"Disneyland Train from Gare de Lyon, Paris",Disneyland mobile app,7,Thrill Rides, Dark Rides,7,6,8,7,10,9,7,7,8,6,7,8,6,8,Female,25-30,India
6,2019,1,0,Disney website,SUPER MAGIC ticket two parks valid anytime,1 days,"Disneyland Train from Gare de Lyon, Paris",Website,10,Thrill Rides, Entertainment Shows,10,10,10,10,7,1,5,4,5,7,7,8,8,8,Male,25-30,Thailand
9,2018,2,0,Disney website,MAGIC ticket two parks valid during green and blue dates on Disney Calendar,1 days,"Disneyland Train from Gare de Lyon, Paris",Disneyland mobile app,10,Thrill Rides, Slow Rides,8,6,7,10,8,10,10,10,10,10,10,10,10,10,Male,30-35,France
11,2019,3,0,Disney website,MINI ticket 1 day single park valid during green dates on Disney calendar,1 days,Private vehicle,"Disneyland mobile app, Website",2,Thrill Rides, Dark Rides,5,3,5,3,3,4,10,10,10,10,7,10,10,9,Male,25-30,Canada
12,2019,3,1,At-the-gate same-day tickets,MAGIC ticket 1 day single park valid during green and blue dates on Disney Calendar,1 days,Private vehicle,None,2,Small Kids Rides, Parades,2,3,2,3,8,5,9,9,9,10,9,10,7,10,Male,30-35,Brazil
13,2019,2,0,Disney website,MINI ticket 1 day single park valid during green dates on Disney calendar,1 days,Public transportation,Website,8,Thrill Rides, Parades,7,4,7,4,8,9,9,7,10,10,6,7,8,8,Male,30-35,Croatia
14,2019,2,2,Disney website,Multiday stay Disney Package deal,4 days of more.,Public transportation,Disneyland mobile app,8,Thrill Rides, Slow Rides,10,10,10,8,10,10,8,9,10,6,10,10,5,6,Female,35-40,Israel
15,2018,4,0,Disney website,Multiday stay Disney Package deal,4 days of more.,"Disneyland Train from Gare de Lyon, Paris",Disneyland mobile app,2,Thrill Rides, Water Rides,7,3,2,6,10,2,3,4,4,10,7,9,2,10,Female,25-30,Canada
16,2019,3,0,Company tickets,SUPER MAGIC ticket two parks valid anytime,1 days,Public transportation,Disneyland mobile app,5,Thrill Rides, Slow Rides,6,7,4,5,8,6,5,7,4,9,9,8,5,5,Female,25-30,Brazil
17,2019,4,0,Disney website,MAGIC ticket two parks valid during green and blue dates on Disney Calendar,1 days,Private vehicle,Disneyland mobile app,8,Slow Rides, Parades,6,7,4,6,9,8,8,5,8,7,8,9,7,4,Male,25-30,China
18,2018,1,0,Disney website,SUPER MAGIC ticket two parks valid anytime,1 days,Public transportation,None,8,Thrill Rides, Dark Rides,8,8,7,8,5,8,5,4,7,10,10,8,5,5,Female,25-30,France
19,2019,1,0,Disney website,SUPER MAGIC ticket two parks valid anytime,1 days,Private vehicle,"Disneyland mobile app, Other",3,Water Rides, Entertainment Shows,6,3,6,8,5,2,5,9,6,9,9,9,9,6,Male,25-30,China
21,2018,1,0,Disney website,Multiday stay Disney Package deal,2-3 days,"Disneyland Train from Gare de Lyon, Paris",Disneyland mobile app,1,Thrill Rides, Water Rides,2,2,5,2,8,9,8,8,8,10,5,10,8,10,Male,35-40,Brazil
22,2018,2,0,Disney website,MAGIC ticket two parks valid during green and blue dates on Disney Calendar,2-3 days,"Disneyland Train from Gare de Lyon, Paris","Disneyland mobile app, Website",3,Thrill Rides, Parades,3,1,4,1,5,10,10,10,10,10,10,10,10,10,Female,30-35,Brazil
23,2018,4,6,Company tickets,MAGIC ticket two parks valid during green and blue dates on Disney Calendar,1 days,Public transportation,Website,7,Thrill Rides, Entertainment Shows,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Male,35-40,France
24,2018,2,2,Company tickets,SUPER MAGIC ticket single park valid anytime,1 days,Private vehicle,Disneyland mobile app,8,Thrill Rides, Parades,8,8,8,8,8,6,7,7,8,10,7,8,8,9,Male,40-50,France
25,2018,2,2,Disney website,MINI ticket 1 day single park valid during green dates on Disney calendar,1 days,"Disneyland Train from Gare de Lyon, Paris, Private vehicle",Website,6,Water Rides, Parades,6,6,6,1,9,3,9,8,9,9,9,9,8,9,Male,40-50,France
26,2006,2,0,Annual pass,MINI ticket 1 day single park valid during green dates on Disney calendar,1 days,Public transportation,None,5,Thrill Rides, Water Rides,8,6,8,8,10,9,9,8,7,8,8,8,5,8,Male,35-40,France
27,2019,1,0,Disney website,SUPER MAGIC ticket single park valid anytime,1 days,Private vehicle,Disneyland mobile app,3,Thrill Rides, Dark Rides,4,4,4,4,8,4,8,7,6,8,7,9,6,6,Male,30-35,France
28,2020,4,3,Travel agent,SUPER MAGIC ticket two parks valid anytime,2-3 days,"Disneyland Train from Gare de Lyon, Paris, Private vehicle","Disneyland mobile app, Website",5,Small Kids Rides, Entertainment Shows,8,5,2,7,10,4,10,10,10,10,5,10,10,5,Male,25-30,Spain
29,2018,2,3,Company tickets,MAGIC ticket two parks valid during green and blue dates on Disney Calendar,1 days,Private vehicle,Disneyland mobile app,3,Water Rides, Entertainment Shows,5,3,5,4,8,9,8,10,10,10,6,10,9,8,Male,40-50,France
30,2019,6,4,Company tickets,MAGIC ticket 1 day single park valid during green and blue dates on Disney Calendar,1 days,Private vehicle,"Disneyland mobile app, Website",3,Small Kids Rides,,3,3,3,3,6,5,6,8,3,9,7,6,5,5,Male,35-40,United States
31,1990,1,1,At-the-gate same-day tickets,MINI ticket 1 day single park valid during green dates on Disney calendar,1 days,Public transportation,None,9,Small Kids Rides, Parades,9,9,9,9,9,8,4,8,8,9,8,9,8,9,Male,40-50,France
32,2019,2,3,Disney website,Annual pass single park,1 days,Public transportation,Website,7,Thrill Rides, Dark Rides,6,6,6,5,8,8,7,8,6,7,7,8,7,7,Male,30-35,Spain
33,2019,4,0,Disney website,SUPER MAGIC ticket two parks valid anytime,1 days,"Public transportation, Private vehicle",None,7,Thrill Rides, Water Rides,8,10,10,3,1,7,8,5,7,10,9,5,5,5,Female,25-30,France
34,2020,4,0,Disney website,Annual pass two parks,1 days,Private vehicle,"Disneyland mobile app, Website",10,Thrill Rides, Parades,10,8,7,10,8,8,7,6,4,10,7,7,9,8,Male,18-25,France
35,2020,1,0,Disney website,Annual pass two parks,1 days,Private vehicle,Disneyland mobile app,8,Thrill Rides, Parades,9,8,6,8,9,6,8,3,4,10,8,9,9,3,Female,18-25,France
36,2019,8,0,Travel agent,Multiday stay Disney Package deal,1 days,Private vehicle,Disneyland mobile app,6,Thrill Rides,,6,6,9,9,9,7,4,6,7,6,5,4,6,8,Male,25-30,France
37,2019,2,0,Disney website,Multiday stay Disney Package deal,4 days of more.,The Magical Shuttle,"Disneyland mobile app, Website",4,Thrill Rides, Dark Rides,6,3,7,2,8,7,4,3,9,8,8,9,1,10,Female,18-25,Ireland {Republic}
38,2019,4,0,Company tickets,MINI ticket 1 day single park valid during green dates on Disney calendar,1 days,"Disneyland Train from Gare de Lyon, Paris, The Magical Shuttle, Public transportation",Disneyland mobile app,2,Thrill Rides, Water Rides,2,2,5,1,8,10,10,10,10,10,10,10,1,10,Female,25-30,United States
39,2018,2,3,Annual pass,Annual pass two parks,4 days of more.,"Disneyland Train from Gare de Lyon, Paris, Public transportation",Disneyland mobile app,5,Thrill Rides, Dark Rides,8,7,9,7,9,5,4,5,8,7,3,6,4,5,Male,25-30,United Kingdom
40,2019,2,0,Disney website,Multiday stay Disney Package deal,4 days of more.,Private vehicle,"Disneyland mobile app, Website",8,Thrill Rides, Dark Rides,8,8,8,8,8,1,5,2,2,7,5,8,7,5,Male,30-35,Portugal
